Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Subscription Status,Previous Purchases,Frequency of Purchases
65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,Yes,44,Every 3 Months
31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,Yes,3,Every 3 Months
45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,Yes,49,Monthly
57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,Yes,21,Every 3 Months
48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,Yes,5,Weekly
22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,Yes,32,Every 3 Months
36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,Yes,34,Annually
18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,Yes,21,Every 3 Months
48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,Yes,43,Bi-Weekly
49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,Yes,3,Monthly
64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,Yes,21,Annually
50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,Yes,32,Monthly
22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,Yes,36,Fortnightly
50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,Yes,50,Fortnightly
38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,Yes,43,Every 3 Months
19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,Yes,24,Every 3 Months
67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,Yes,36,Every 3 Months
19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,Yes,21,Every 3 Months
36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,Yes,34,Weekly
52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,Yes,42,Every 3 Months
53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,Yes,2,Bi-Weekly
24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,Yes,47,Bi-Weekly
52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,Yes,44,Fortnightly
33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,Yes,35,Monthly
47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,Yes,15,Quarterly
25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,Yes,29,Monthly
44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,Yes,18,Every 3 Months
61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,Yes,13,Every 3 Months
37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,Yes,46,Weekly
58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,Yes,28,Weekly
37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,Yes,48,Monthly
32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,Yes,43,Every 3 Months
21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,Yes,37,Annually
20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,Yes,20,Annually
26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,Yes,33,Quarterly
62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,Yes,31,Fortnightly
27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,Yes,50,Bi-Weekly
51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,Yes,35,Quarterly
54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,Yes,22,Bi-Weekly
55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,Yes,1,Monthly
69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,Yes,4,Annually
64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,Yes,31,Monthly
28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,Yes,46,Fortnightly
70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,Yes,32,Bi-Weekly
58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,Yes,43,Fortnightly
56,Male,Backpack,Accessories,26,New York,M,Black,Summer,Yes,26,Fortnightly
26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,Yes,9,Annually
37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,Yes,28,Bi-Weekly
44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,Yes,20,Quarterly
70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,Yes,9,Weekly
53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,Yes,48,Every 3 Months
55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,Yes,12,Annually
50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,Yes,29,Fortnightly
50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,Yes,27,Bi-Weekly
38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,Yes,44,Annually
64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,Yes,32,Annually
19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,Yes,11,Fortnightly
40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,Yes,44,Fortnightly
57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,Yes,46,Weekly
44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,Yes,50,Annually
49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,Yes,45,Every 3 Months
43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,Yes,48,Every 3 Months
24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,Yes,26,Weekly
20,Male,Scarf,Accessories,32,California,M,Gold,Spring,Yes,21,Fortnightly
24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,Yes,49,Bi-Weekly
44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,Yes,13,Fortnightly
28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,Yes,46,Weekly
30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,Yes,42,Weekly
52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,Yes,25,Annually
43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,Yes,25,Monthly
43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,Yes,12,Quarterly
39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,Yes,4,Quarterly
68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,Yes,38,Weekly
68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,Yes,42,Weekly
49,Male,Coat,Outerwear,95,Florida,M,White,Fall,Yes,30,Annually
63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,Yes,50,Weekly
56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,Yes,45,Weekly
37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,Yes,33,Fortnightly
30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,Yes,25,Quarterly
19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,Yes,25,Monthly
24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,Yes,44,Quarterly
52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,Yes,21,Fortnightly
63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,Yes,31,Fortnightly
37,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,Yes,47,Annually
38,Male,Pants,Clothing,76,Delaware,M,White,Summer,Yes,14,Monthly
35,Male,Boots,Footwear,96,California,L,Cyan,Fall,Yes,17,Every 3 Months
28,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,Yes,3,Annually
30,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,Yes,42,Annually
69,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,Yes,22,Annually
41,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,Yes,21,Quarterly
63,Male,Socks,Clothing,77,Maine,S,Olive,Spring,Yes,21,Quarterly
35,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,Yes,40,Annually
36,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,Yes,1,Fortnightly
25,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,Yes,50,Monthly
58,Male,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,Yes,39,Every 3 Months
27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,Yes,34,Monthly
65,Male,Backpack,Accessories,49,North Dakota,M,Olive,Fall,Yes,29,Fortnightly
54,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,Yes,31,Bi-Weekly
54,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,Yes,8,Weekly
59,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,Yes,5,Fortnightly
42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,Yes,7,Monthly
46,Male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,Yes,30,Monthly
33,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,Yes,14,Every 3 Months
34,Male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,Yes,5,Fortnightly
27,Male,Jacket,Outerwear,30,Nevada,S,Gold,Summer,Yes,3,Every 3 Months
52,Male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,Yes,46,Bi-Weekly
29,Male,Shorts,Clothing,35,Virginia,M,Blue,Summer,Yes,4,Weekly
54,Male,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,Yes,42,Bi-Weekly
25,Male,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,Yes,30,Annually
41,Male,Shoes,Footwear,35,Vermont,L,Brown,Winter,Yes,37,Annually
53,Male,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,Yes,2,Annually
53,Male,Backpack,Accessories,81,New Hampshire,L,Black,Spring,Yes,30,Quarterly
21,Male,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,Yes,47,Monthly
61,Male,Skirt,Clothing,43,Idaho,L,Lavender,Fall,Yes,21,Quarterly
64,Male,Boots,Footwear,31,Illinois,M,Violet,Fall,Yes,9,Fortnightly
51,Male,Sandals,Footwear,81,South Dakota,L,Green,Fall,Yes,12,Fortnightly
32,Male,Pants,Clothing,61,Massachusetts,M,Beige,Summer,Yes,4,Weekly
38,Male,Gloves,Accessories,96,Alabama,XL,Purple,Summer,Yes,10,Annually
58,Male,Skirt,Clothing,29,Ohio,XL,Beige,Spring,Yes,26,Weekly
32,Male,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,Yes,40,Fortnightly
46,Male,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,Yes,34,Fortnightly
39,Male,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,Yes,31,Annually
19,Male,Shoes,Footwear,94,Georgia,S,Purple,Spring,Yes,1,Bi-Weekly
50,Male,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,Yes,5,Bi-Weekly
36,Male,Blouse,Clothing,82,West Virginia,M,Maroon,Fall,Yes,4,Weekly
65,Male,Coat,Outerwear,70,Indiana,XL,Beige,Fall,Yes,48,Quarterly
64,Male,Hat,Accessories,76,Utah,M,Gray,Fall,Yes,29,Every 3 Months
46,Male,Shoes,Footwear,29,Nebraska,L,Turquoise,Summer,Yes,12,Bi-Weekly
36,Male,Belt,Accessories,100,North Dakota,S,Silver,Fall,Yes,29,Annually
51,Male,Backpack,Accessories,94,Missouri,M,Olive,Spring,Yes,15,Quarterly
51,Male,Jacket,Outerwear,25,New York,M,Magenta,Fall,Yes,34,Monthly
38,Male,Boots,Footwear,88,Washington,M,Lavender,Summer,Yes,41,Fortnightly
59,Male,Scarf,Accessories,78,South Carolina,M,Black,Fall,Yes,41,Monthly
57,Male,Jewelry,Accessories,45,Utah,M,Turquoise,Winter,Yes,39,Fortnightly
54,Male,Hat,Accessories,73,Idaho,XL,Green,Summer,Yes,32,Weekly
25,Male,Dress,Clothing,61,Pennsylvania,S,Teal,Summer,Yes,29,Monthly
69,Male,Blouse,Clothing,22,Missouri,S,Beige,Fall,Yes,15,Annually
57,Male,Hat,Accessories,38,Nebraska,L,Magenta,Spring,Yes,33,Annually
70,Male,Scarf,Accessories,38,Indiana,S,Yellow,Fall,Yes,18,Weekly
24,Male,Sneakers,Footwear,100,Arizona,M,Yellow,Fall,Yes,35,Bi-Weekly
67,Male,Shirt,Clothing,64,Hawaii,M,Silver,Winter,Yes,25,Weekly
24,Male,T-shirt,Clothing,55,Wisconsin,L,Silver,Summer,Yes,6,Fortnightly
62,Male,Gloves,Accessories,91,Rhode Island,M,Silver,Summer,Yes,17,Bi-Weekly
57,Male,Skirt,Clothing,38,Wisconsin,M,Gold,Spring,Yes,17,Monthly
55,Male,Sandals,Footwear,97,Minnesota,S,Olive,Winter,Yes,44,Every 3 Months
45,Male,Jacket,Outerwear,22,Vermont,L,Teal,Fall,Yes,6,Fortnightly
69,Male,Skirt,Clothing,92,South Dakota,L,Maroon,Fall,Yes,45,Fortnightly
67,Male,Handbag,Accessories,84,Virginia,L,Blue,Fall,Yes,7,Annually
30,Male,Handbag,Accessories,93,Nevada,L,Peach,Fall,Yes,11,Every 3 Months
24,Male,Jacket,Outerwear,50,Hawaii,L,Blue,Summer,Yes,41,Every 3 Months
62,Male,Scarf,Accessories,64,New Jersey,S,Orange,Spring,Yes,24,Bi-Weekly
43,Male,Shorts,Clothing,61,Massachusetts,L,Yellow,Spring,Yes,21,Weekly
35,Male,Sunglasses,Accessories,48,Oklahoma,M,Purple,Winter,Yes,24,Annually
28,Male,T-shirt,Clothing,45,California,S,Magenta,Spring,Yes,8,Quarterly
32,Male,Belt,Accessories,88,Nevada,M,Cyan,Spring,Yes,12,Fortnightly
39,Male,Sneakers,Footwear,57,Arizona,S,Indigo,Spring,Yes,48,Fortnightly
28,Male,Hat,Accessories,68,North Carolina,XL,Magenta,Summer,Yes,6,Quarterly
47,Male,Gloves,Accessories,94,New York,XL,Gray,Spring,Yes,14,Fortnightly
20,Male,Pants,Clothing,41,Wyoming,M,Turquoise,Spring,Yes,34,Annually
63,Male,Socks,Clothing,83,South Dakota,S,Beige,Summer,Yes,12,Every 3 Months
25,Male,Jacket,Outerwear,22,Arkansas,M,Olive,Spring,Yes,11,Annually
29,Male,Shoes,Footwear,74,Texas,L,Violet,Spring,Yes,5,Monthly
50,Male,Jeans,Clothing,90,Rhode Island,M,Turquoise,Winter,Yes,25,Fortnightly
18,Male,Socks,Clothing,79,New Hampshire,M,White,Spring,Yes,11,Annually
70,Male,Sandals,Footwear,28,Ohio,S,Silver,Spring,Yes,27,Every 3 Months
66,Male,Scarf,Accessories,88,Utah,L,Olive,Fall,Yes,43,Annually
28,Male,Blouse,Clothing,26,Tennessee,M,Blue,Spring,Yes,18,Every 3 Months
54,Male,Jewelry,Accessories,27,Hawaii,L,Purple,Winter,Yes,32,Bi-Weekly
19,Male,Sweater,Clothing,83,Arizona,XL,Yellow,Fall,Yes,27,Every 3 Months
20,Male,Gloves,Accessories,39,South Dakota,S,Silver,Summer,Yes,24,Weekly
43,Male,Sunglasses,Accessories,89,New Jersey,M,Cyan,Winter,Yes,31,Quarterly
38,Male,Coat,Outerwear,68,North Dakota,L,Green,Winter,Yes,39,Fortnightly
50,Male,Dress,Clothing,90,Iowa,M,Beige,Summer,Yes,36,Fortnightly
64,Male,Skirt,Clothing,34,Ohio,M,Peach,Fall,Yes,5,Annually
49,Male,Pants,Clothing,51,Vermont,L,Yellow,Summer,Yes,47,Bi-Weekly
47,Male,Sweater,Clothing,45,Montana,XL,Turquoise,Winter,Yes,29,Fortnightly
36,Male,Hoodie,Clothing,88,Delaware,M,Peach,Winter,Yes,43,Bi-Weekly
55,Male,Coat,Outerwear,85,New York,L,Gray,Summer,Yes,40,Every 3 Months
25,Male,Jewelry,Accessories,100,Kentucky,M,Olive,Winter,Yes,4,Monthly
53,Male,Belt,Accessories,42,Oregon,S,Indigo,Spring,Yes,39,Weekly
49,Male,Sandals,Footwear,53,Rhode Island,L,Charcoal,Summer,Yes,45,Fortnightly
35,Male,Sunglasses,Accessories,86,Nevada,XL,Beige,Spring,Yes,20,Bi-Weekly
29,Male,Sweater,Clothing,66,Montana,XL,Brown,Spring,Yes,14,Weekly
47,Male,Belt,Accessories,100,Pennsylvania,M,Blue,Winter,Yes,33,Weekly
53,Male,Handbag,Accessories,47,Alaska,S,Teal,Fall,Yes,18,Annually
33,Male,Skirt,Clothing,25,Mississippi,L,Black,Fall,Yes,9,Weekly
21,Male,Handbag,Accessories,51,Wyoming,XL,Gold,Winter,Yes,34,Annually
32,Male,Shorts,Clothing,41,Delaware,M,Violet,Summer,Yes,33,Fortnightly
52,Male,Boots,Footwear,73,Oklahoma,L,Cyan,Winter,Yes,15,Bi-Weekly
67,Male,Sunglasses,Accessories,42,Indiana,M,White,Winter,Yes,4,Bi-Weekly
43,Male,Scarf,Accessories,20,Maryland,M,Charcoal,Spring,Yes,25,Annually
58,Male,Jewelry,Accessories,30,South Dakota,XL,Violet,Spring,Yes,20,Every 3 Months
20,Male,Handbag,Accessories,53,West Virginia,M,Red,Summer,Yes,5,Quarterly
61,Male,Gloves,Accessories,74,Alabama,S,Lavender,Spring,Yes,16,Quarterly
32,Male,Jeans,Clothing,57,Louisiana,M,Gold,Fall,Yes,13,Annually
38,Male,Hat,Accessories,57,Montana,S,Red,Winter,Yes,11,Every 3 Months
21,Male,Jeans,Clothing,77,California,L,Magenta,Winter,Yes,21,Annually
37,Male,Pants,Clothing,40,Hawaii,M,Teal,Summer,Yes,6,Annually
27,Male,Shorts,Clothing,46,Iowa,M,Purple,Summer,Yes,29,Monthly
36,Male,Pants,Clothing,78,Colorado,S,Charcoal,Fall,Yes,15,Annually
32,Male,Backpack,Accessories,59,Michigan,M,Gray,Spring,Yes,17,Bi-Weekly
51,Male,Jewelry,Accessories,75,Louisiana,L,White,Summer,Yes,32,Weekly
64,Male,Sweater,Clothing,54,Maryland,M,Olive,Spring,Yes,42,Annually
68,Male,Shoes,Footwear,42,Georgia,M,Charcoal,Spring,Yes,21,Monthly
68,Male,Blouse,Clothing,44,Georgia,M,Charcoal,Winter,Yes,9,Bi-Weekly
33,Male,Jeans,Clothing,52,North Dakota,XL,Orange,Fall,Yes,16,Annually
65,Male,Sunglasses,Accessories,69,Maryland,XL,Yellow,Summer,Yes,42,Fortnightly
48,Male,Jewelry,Accessories,26,Oregon,M,Beige,Summer,Yes,37,Bi-Weekly
69,Male,Coat,Outerwear,33,North Dakota,S,Silver,Spring,Yes,32,Quarterly
59,Male,Jewelry,Accessories,32,Maryland,M,Indigo,Spring,Yes,28,Bi-Weekly
48,Male,Backpack,Accessories,85,Virginia,XL,Lavender,Winter,Yes,13,Weekly
25,Male,Skirt,Clothing,30,South Dakota,XL,Turquoise,Fall,Yes,11,Fortnightly
29,Male,Shirt,Clothing,29,Georgia,M,Green,Winter,Yes,36,Bi-Weekly
57,Male,Sweater,Clothing,95,Hawaii,M,Orange,Spring,Yes,23,Annually
23,Male,Sneakers,Footwear,69,Arkansas,L,Turquoise,Summer,Yes,37,Monthly
45,Male,Sandals,Footwear,69,Montana,S,Cyan,Fall,Yes,21,Bi-Weekly
38,Male,Belt,Accessories,61,Oklahoma,XL,Charcoal,Spring,Yes,22,Bi-Weekly
21,Male,Skirt,Clothing,94,Minnesota,M,Teal,Summer,Yes,9,Monthly
32,Male,Sweater,Clothing,30,Montana,S,Maroon,Fall,Yes,16,Annually
63,Male,Skirt,Clothing,45,Ohio,M,Red,Summer,Yes,4,Quarterly
29,Male,Handbag,Accessories,39,Kentucky,XL,Yellow,Summer,Yes,3,Bi-Weekly
27,Male,Jewelry,Accessories,51,Nebraska,L,Gray,Summer,Yes,6,Annually
56,Male,Scarf,Accessories,37,Delaware,L,Blue,Spring,Yes,18,Fortnightly
30,Male,T-shirt,Clothing,62,North Carolina,M,Lavender,Winter,Yes,34,Bi-Weekly
49,Male,Coat,Outerwear,85,New York,M,Yellow,Fall,Yes,26,Monthly
58,Male,T-shirt,Clothing,33,Colorado,M,Indigo,Winter,Yes,50,Weekly
57,Male,Dress,Clothing,26,Delaware,XL,Violet,Fall,Yes,40,Monthly
60,Male,Shoes,Footwear,99,Utah,M,Green,Spring,Yes,24,Quarterly
69,Male,Handbag,Accessories,39,Connecticut,M,White,Spring,Yes,33,Annually
70,Male,Skirt,Clothing,20,New Jersey,M,Gold,Spring,Yes,19,Every 3 Months
53,Male,Sunglasses,Accessories,42,West Virginia,M,Indigo,Winter,Yes,24,Quarterly
25,Male,Sandals,Footwear,74,Indiana,S,Lavender,Spring,Yes,19,Weekly
48,Male,Shoes,Footwear,26,Delaware,XL,Purple,Summer,Yes,4,Bi-Weekly
69,Male,T-shirt,Clothing,53,Maryland,M,Lavender,Winter,Yes,11,Every 3 Months
25,Male,Sneakers,Footwear,80,Pennsylvania,M,Maroon,Summer,Yes,28,Fortnightly
29,Male,Hat,Accessories,98,Iowa,M,Teal,Spring,Yes,24,Weekly
46,Male,Skirt,Clothing,95,Pennsylvania,M,Green,Spring,Yes,25,Every 3 Months
37,Male,Sweater,Clothing,44,Delaware,L,Olive,Summer,Yes,27,Every 3 Months
20,Male,Sandals,Footwear,60,Oregon,M,Turquoise,Summer,Yes,49,Weekly
40,Male,Dress,Clothing,84,Oregon,M,Green,Winter,Yes,45,Bi-Weekly
60,Male,Sweater,Clothing,59,Utah,M,Teal,Fall,Yes,26,Annually
26,Male,Jacket,Outerwear,49,North Dakota,S,White,Summer,Yes,4,Annually
29,Male,Gloves,Accessories,32,Florida,M,Orange,Winter,Yes,3,Every 3 Months
